experiment,mAP,AP50,APsmall,fps,params_m,flops_g
tinypennfudan_baseline_cpu_demo,2.5016249630433755e-05,0.0001207437816952427,2.5665569938487856e-05,1.1753765477447335,12.104396,10.576740352
tinypennfudan_cpu_demo,8.105240915474457e-04,0.000278517668702566,1.1999051733626902e-04,1.5594499109051203,12.790807,11.131093376
