experiment,mAP,AP50,APsmall,fps,params_m,flops_g
pennfudan_baseline_cpu_demo,0.034541626858624865,0.10306830383703347,0.0,2.678537875097215,12.104396,5.960798208
pennfudan_cpu_demo,0.015236799242138216,0.06564036175564773,0.0,2.5458543371602707,12.790807,6.272643456
